gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000197860.10_SGTB	591.8	5.4	1.125e-91	2.342e-89
ENSG00000175792.12_RUVBL1	2351.7	-3.4	1.989e-91	5.488e-89
ENSG00000156381.9_ANKRD9	18049.5	5	3.261e-91	1.264e-88
ENSG00000177666.17_PNPLA2	8854.8	6	6.090e-91	1.660e-88
ENSG00000110497.14_AMBRA1	9137.3	4.5	4.573e-91	1.752e-88
ENSG00000149212.12_SESN3	23855.4	6.9	6.768e-91	2.578e-88
ENSG00000278828.1_H3C10	1588.9	8	1.221e-90	3.124e-88
ENSG00000147140.16_NONO	14929.9	-2.2	1.308e-90	3.326e-88
ENSG00000129245.12_FXR2	2158.1	2.4	1.397e-90	3.682e-88
ENSG00000186184.18_POLR1D	10914	4.5	1.216e-90	3.682e-88
ENSG00000099204.20_ABLIM1	4710.9	9.4	8.597e-90	1.683e-87
ENSG00000011143.17_MKS1	894.5	-4.4	9.528e-90	1.981e-87
ENSG00000100614.18_PPM1A	17769.6	4.9	7.445e-90	2.723e-87
ENSG00000130713.16_EXOSC2	1300.3	-3.4	1.957e-89	4.188e-87
ENSG00000111885.7_MAN1A1	30623.5	5.4	2.950e-89	7.207e-87
ENSG00000285793.1_AC125232.2	1580.3	3.9	6.529e-89	1.376e-86
ENSG00000143393.16_PI4KB	7600.1	3	8.692e-89	2.100e-86
ENSG00000104765.16_BNIP3L	62450.2	5.4	8.839e-89	3.144e-86
ENSG00000171862.11_PTEN	5857.1	2.6	1.480e-88	5.237e-86
ENSG00000116604.18_MEF2D	3439.3	4	2.756e-88	7.892e-86
ENSG00000260111.1_AC012184.1	88.8	-22.8	6.384e-88	1.110e-85
ENSG00000001084.13_GCLC	28300.9	4.1	5.683e-88	1.609e-85
ENSG00000105643.10_ARRDC2	30534.1	6.9	1.321e-87	3.090e-85
ENSG00000109927.10_TECTA	733.4	8.3	2.637e-87	4.806e-85
ENSG00000272106.1_AL691432.2	216.2	3.8	4.742e-87	8.073e-85
ENSG00000005339.15_CREBBP	17433.9	4.1	5.984e-87	1.442e-84
ENSG00000165507.9_DEPP1	4143.9	12.5	8.341e-87	2.000e-84
ENSG00000172057.10_ORMDL3	4808.8	3.7	7.164e-87	2.096e-84
ENSG00000101608.12_MYL12A	4620.2	3	1.621e-86	3.847e-84
ENSG00000111666.11_CHPT1	10454.9	3.2	2.703e-86	7.339e-84
ENSG00000168300.14_PCMTD1	5651.7	4.6	3.096e-86	8.916e-84
ENSG00000181744.8_DIPK2A	8190.4	6	3.570e-86	1.061e-83
ENSG00000100030.14_MAPK1	11920.3	3.1	3.435e-86	1.129e-83
ENSG00000173727.12_AP000769.1	356.1	8.3	1.355e-85	1.452e-83
ENSG00000182795.13_C1orf116	1698.9	10	1.213e-85	2.319e-83
ENSG00000136802.11_LRRC8A	16112.3	5.6	1.013e-85	2.320e-83
ENSG00000160584.16_SIK3	13399.3	5.2	1.090e-85	2.484e-83
ENSG00000134490.14_TMEM241	894.6	5.6	1.571e-85	2.664e-83
ENSG00000141985.9_SH3GL1	7754.4	3.5	8.425e-86	2.687e-83
ENSG00000168591.16_TMUB2	3817.9	4.3	1.371e-85	3.540e-83
ENSG00000012822.16_CALCOCO1	14064.8	4.6	1.624e-85	4.164e-83
ENSG00000132819.17_RBM38	108955.3	5.8	1.628e-85	4.164e-83
ENSG00000175073.8_VCPIP1	9134.7	5.1	2.661e-85	8.322e-83
ENSG00000173064.13_HECTD4	46179	4.7	7.124e-85	1.498e-82
ENSG00000186575.18_NF2	1655.5	-3.8	1.275e-84	2.314e-82
ENSG00000147416.11_ATP6V1B2	14673.5	3.5	1.297e-84	2.828e-82
ENSG00000115216.14_NRBP1	8034.3	3.2	1.399e-84	3.492e-82
ENSG00000184117.12_NIPSNAP1	2359.6	-4	1.498e-84	3.723e-82
ENSG00000014138.9_POLA2	1864.2	-4.5	1.888e-84	5.005e-82
ENSG00000155380.11_SLC16A1	13129.5	6.2	2.316e-84	5.701e-82
ENSG00000109220.11_CHIC2	1434.5	4.1	3.787e-84	7.704e-82
ENSG00000089094.19_KDM2B	1637.4	-2.8	5.077e-84	1.028e-81
ENSG00000065491.8_TBC1D22B	10382.7	4.4	5.824e-84	1.174e-81
ENSG00000103496.15_STX4	1936.1	3.4	6.395e-84	1.343e-81
ENSG00000135365.15_PHF21A	3533.6	2.9	6.493e-84	1.358e-81
ENSG00000152409.9_JMY	7191	4	8.862e-84	2.122e-81
ENSG00000258102.5_MAP1LC3B2	1461.6	5.8	1.341e-83	2.312e-81
ENSG00000198835.4_GJC2	260.7	8.8	2.463e-83	2.353e-81
ENSG00000065135.12_GNAI3	5607.1	2.7	1.036e-83	2.448e-81
ENSG00000170836.12_PPM1D	3052.7	3.5	2.206e-83	4.511e-81
ENSG00000166848.7_TERF2IP	27109.7	4.8	1.909e-83	5.494e-81
ENSG00000148090.11_AUH	573.6	3	6.484e-83	9.830e-81
ENSG00000121879.5_PIK3CA	7712.3	4.6	1.092e-82	2.203e-80
ENSG00000100380.14_ST13	25296.4	2.9	1.412e-82	2.709e-80
ENSG00000160695.14_VPS11	4499.9	3	1.876e-82	3.751e-80
ENSG00000274487.2_NPEPPSP1	616.5	5.4	3.075e-82	4.600e-80
ENSG00000125772.14_GPCPD1	15399.5	4.2	3.540e-82	6.702e-80
ENSG00000142949.17_PTPRF	3600.5	7.8	3.717e-82	8.997e-80
ENSG00000060688.13_SNRNP40	2132	-3.3	4.053e-82	9.769e-80
ENSG00000133816.15_MICAL2	52944.4	5.6	7.139e-82	1.334e-79
ENSG00000122035.6_RASL11A	362.4	7	1.698e-81	1.533e-79
ENSG00000183726.11_TMEM50A	5765	3.2	1.067e-81	1.550e-79
ENSG00000132471.12_WBP2	16708.8	3.9	8.537e-82	1.650e-79
ENSG00000162236.12_STX5	3153.4	3.3	1.002e-81	1.842e-79
ENSG00000136518.17_ACTL6A	2613.7	-2.6	9.887e-82	2.179e-79
ENSG00000163536.12_SERPINI1	1371.4	5.5	2.961e-81	6.929e-79
ENSG00000165792.17_METTL17	1800.7	-4.2	3.974e-81	7.211e-79
ENSG00000135870.12_RC3H1	3016.9	3.3	8.252e-81	1.796e-78
ENSG00000140961.14_OSGIN1	890.7	8.8	1.602e-80	2.264e-78
ENSG00000167565.13_SERTAD3	1786.3	5.7	1.253e-80	2.883e-78
ENSG00000143294.15_PRCC	3251.7	2.3	1.426e-80	3.269e-78
ENSG00000114030.13_KPNA1	9284.5	3.9	4.146e-80	8.878e-78
ENSG00000173120.15_KDM2A	9818.2	3.3	4.847e-80	1.034e-77
ENSG00000165406.16_MARCHF8	77366.5	5.9	4.741e-80	1.238e-77
ENSG00000034677.13_RNF19A	13907.1	4.2	7.566e-80	1.391e-77
ENSG00000115866.11_DARS1	3058.5	-2.8	7.753e-80	1.420e-77
ENSG00000196453.8_ZNF777	3458.4	3.8	6.760e-80	1.513e-77
ENSG00000125166.13_GOT2	3869	-3.6	8.757e-80	1.520e-77
ENSG00000110047.18_EHD1	9652.1	4.3	6.433e-80	1.646e-77
ENSG00000038274.17_MAT2B	16656.4	5	7.300e-80	1.675e-77
ENSG00000111802.14_TDP2	5417.8	4.7	1.117e-79	2.006e-77
ENSG00000159593.15_NAE1	1792.5	-3.7	1.079e-79	2.381e-77
ENSG00000169905.12_TOR1AIP2	8211.6	3.9	1.216e-79	2.756e-77
ENSG00000099968.18_BCL2L13	4596.5	3.1	1.680e-79	2.848e-77
ENSG00000126456.16_IRF3	3898.8	3.8	1.781e-79	3.622e-77
ENSG00000240849.11_TMEM189	1512	2.4	3.439e-79	5.030e-77
ENSG00000141540.11_TTYH2	611	6	3.962e-79	5.140e-77
ENSG00000223891.6_OSER1-DT	1088.8	4.8	4.320e-79	6.271e-77
ENSG00000179632.10_MAF1	14986	3.8	8.116e-79	1.350e-76
ENSG00000186834.3_HEXIM1	14824.2	5.8	5.890e-79	1.445e-76
ENSG00000119844.15_AFTPH	5425.6	3.4	7.280e-79	1.447e-76
ENSG00000164818.16_DNAAF5	1662.9	-4	1.703e-78	2.439e-76
ENSG00000078043.16_PIAS2	803	-3.3	2.907e-78	3.731e-76
ENSG00000087206.17_UIMC1	7937.6	4.8	2.469e-78	4.029e-76
ENSG00000173039.19_RELA	5882.8	3.7	1.911e-78	4.140e-76
ENSG00000047644.18_WWC3	10975	4.8	1.749e-78	4.194e-76
ENSG00000139517.9_LNX2	6426.3	5.1	3.939e-78	6.657e-76
ENSG00000160211.19_G6PD	5893.5	3.6	4.064e-78	6.842e-76
ENSG00000146802.13_TMEM168	607	-4.3	8.545e-78	1.060e-75
ENSG00000012983.11_MAP4K5	7498.2	3.6	7.152e-78	1.195e-75
ENSG00000074582.14_BCS1L	867.7	-4.5	1.616e-77	2.150e-75
ENSG00000139684.15_ESD	4344.4	-3.6	1.078e-77	2.194e-75
ENSG00000225783.8_MIAT	3632.6	10	2.297e-77	2.841e-75
ENSG00000204178.11_MACO1	11535.1	4	1.222e-77	2.846e-75
ENSG00000001497.16_LAS1L	2044.4	-2.5	2.941e-77	4.611e-75
ENSG00000156860.16_FBRS	8257.2	3.9	2.977e-77	4.650e-75
ENSG00000170315.14_UBB	221425.1	5	3.029e-77	4.715e-75
ENSG00000128928.10_IVD	2306.7	-2.9	2.610e-77	4.876e-75
ENSG00000158669.11_GPAT4	1999.3	-2.7	3.879e-77	6.278e-75
ENSG00000238243.3_OR2W3	4923.3	6.9	3.935e-77	6.345e-75
ENSG00000105939.13_ZC3HAV1	23867.9	4.8	3.680e-77	6.802e-75
ENSG00000167895.15_TMC8	2866.2	-4.6	4.620e-77	7.398e-75
ENSG00000173230.15_GOLGB1	3979	3.1	5.451e-77	8.698e-75
ENSG00000109084.14_TMEM97	1586.2	-3.5	5.484e-77	1.069e-74
ENSG00000087152.15_ATXN7L3	7064.1	4.5	5.582e-77	1.126e-74
ENSG00000005238.19_FAM214B	20384.8	5.5	5.139e-77	1.147e-74
ENSG00000117394.23_SLC2A1	190702.6	4.9	7.379e-77	1.478e-74
ENSG00000116906.13_GNPAT	2166.9	-3	1.019e-76	1.599e-74
ENSG00000056586.16_RC3H2	4058.4	2.9	8.857e-77	1.698e-74
ENSG00000140153.17_WDR20	1281.1	2.5	1.442e-76	1.868e-74
ENSG00000203880.12_PCMTD2	6192.1	4	1.099e-76	1.963e-74
ENSG00000126107.15_HECTD3	5711.4	2.4	1.399e-76	2.490e-74
ENSG00000115875.19_SRSF7	5648.4	-3.1	1.536e-76	2.724e-74
ENSG00000111716.14_LDHB	22009.1	-4.3	2.197e-76	3.377e-74
ENSG00000133193.12_FAM104A	14098.7	4	3.070e-76	4.490e-74
ENSG00000162623.16_TYW3	1028.9	-3.8	4.100e-76	4.682e-74
ENSG00000133706.18_LARS1	8331.5	-2.9	2.524e-76	5.430e-74
ENSG00000186432.9_KPNA4	6199.8	2.7	2.673e-76	5.731e-74
ENSG00000165861.14_ZFYVE1	5353.2	4.1	4.994e-76	9.256e-74
ENSG00000160908.15_ZNF394	2412.2	3.5	9.197e-76	1.385e-73
ENSG00000133114.18_GPALPP1	1020.8	-3.1	1.092e-75	1.616e-73
ENSG00000159023.21_EPB41	162484.6	5.3	1.297e-75	2.232e-73
ENSG00000110330.8_BIRC2	12092.9	5.5	1.556e-75	2.321e-73
ENSG00000140743.8_CDR2	6785.7	4.3	1.236e-75	2.338e-73
ENSG00000162889.10_MAPKAPK2	6173.8	4.3	1.130e-75	2.368e-73
ENSG00000120306.11_CYSTM1	3452	4.2	1.746e-75	2.967e-73
ENSG00000120253.14_NUP43	2298.3	-3.6	1.691e-75	3.054e-73
ENSG00000186162.10_CIDECP1	1098.2	3.5	1.725e-75	3.104e-73
ENSG00000171824.14_EXOSC10	3461.4	-2.7	2.199e-75	3.218e-73
ENSG00000158109.15_TPRG1L	6865.8	4	3.845e-75	5.609e-73
ENSG00000139842.15_CUL4A	8620.1	2.5	1.154e-74	2.135e-72
ENSG00000137054.16_POLR1E	1398.6	-3.3	1.907e-74	2.290e-72
ENSG00000213977.8_TAX1BP3	1042.1	5.1	2.478e-74	2.678e-72
ENSG00000152520.14_PAN3	4624.4	2.8	2.169e-74	2.983e-72
ENSG00000251442.6_LINC01094	551.2	9.2	4.242e-74	4.503e-72
ENSG00000165219.22_GAPVD1	20179.3	4.1	2.843e-74	4.681e-72
ENSG00000103502.14_CDIPT	4267.6	4.2	2.802e-74	4.901e-72
ENSG00000120899.18_PTK2B	13650.5	5.4	2.750e-74	5.530e-72
ENSG00000142784.16_WDTC1	9532.9	2.8	6.457e-74	9.155e-72
ENSG00000136156.15_ITM2B	11862.3	3.5	6.635e-74	1.326e-71
ENSG00000100395.15_L3MBTL2	1732.5	-2.5	1.389e-73	1.628e-71
ENSG00000099991.18_CABIN1	4338.9	-3.7	1.686e-73	2.368e-71
ENSG00000166579.15_NDEL1	6507.2	3.8	1.349e-73	2.405e-71
ENSG00000138593.9_SECISBP2L	4748.6	3.3	1.633e-73	2.623e-71
ENSG00000175224.16_ATG13	9336.9	3.5	1.899e-73	2.643e-71
ENSG00000077150.20_NFKB2	1487.4	5.4	2.371e-73	2.738e-71
ENSG00000086232.13_EIF2AK1	77893.1	3.3	3.001e-73	4.776e-71
ENSG00000099785.10_MARCHF2	4990	4.4	2.937e-73	4.954e-71
