gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000152413.15_HOMER1	88.6	-3.7	2.566e-06	1.804e-04
ENSG00000163520.14_FBLN2	449.5	-2.4	2.617e-06	1.921e-04
ENSG00000165185.14_KIAA1958	300.9	-1.4	2.690e-06	1.921e-04
ENSG00000187504.6_RPL7P48	7.8	3.3	8.186e-07	1.921e-04
ENSG00000239374.1_AC090013.1	11.1	2.7	9.255e-07	1.921e-04
ENSG00000153208.17_MERTK	646.3	-3.4	2.787e-06	1.959e-04
ENSG00000281087.1_AC135068.6	40	1.8	3.337e-06	2.025e-04
ENSG00000126353.3_CCR7	172.7	-2.2	3.021e-06	2.040e-04
ENSG00000197555.9_SIPA1L1	540	-1.2	3.210e-06	2.158e-04
ENSG00000178726.7_THBD	284.4	-2.3	5.654e-06	2.179e-04
ENSG00000225093.1_RPL3P7	61.9	1.5	3.276e-06	2.202e-04
ENSG00000240759.1_RPS27P21	16.7	2.9	3.320e-06	2.203e-04
ENSG00000076201.15_PTPN23	2737.2	-0.9	2.724e-06	2.215e-04
ENSG00000123989.14_CHPF	126.3	-3.5	3.265e-06	2.215e-04
ENSG00000171488.15_LRRC8C	536.2	-1.7	3.637e-06	2.311e-04
ENSG00000234456.8_MAGI2-AS3	292.7	2.9	3.619e-06	2.360e-04
ENSG00000104267.10_CA2	9340.8	1.8	6.233e-07	2.434e-04
ENSG00000177383.5_MAGEF1	349.1	-1.8	4.131e-06	2.585e-04
ENSG00000240376.1_AC010343.1	170.2	1.7	7.001e-06	2.585e-04
ENSG00000255020.1_AF131216.3	63.2	-3.2	4.239e-06	2.585e-04
ENSG00000228071.4_RPL7P47	36.7	2	3.064e-06	2.642e-04
ENSG00000135324.6_MRAP2	14.9	-4	3.185e-06	2.722e-04
ENSG00000241923.2_RPL14P3	16	1.7	5.656e-06	2.722e-04
ENSG00000278599.5_TBC1D3E	30.4	-37.9	4.374e-06	2.728e-04
ENSG00000244363.3_RPL7P23	130.1	2.1	4.241e-06	2.747e-04
ENSG00000137834.15_SMAD6	86.2	-3	4.635e-06	2.756e-04
ENSG00000132970.14_WASF3	58.4	3.3	4.432e-06	2.760e-04
ENSG00000135916.16_ITM2C	3382.2	-1.3	3.869e-06	2.941e-04
ENSG00000253819.2_LINC01151	28	2.4	3.565e-06	2.973e-04
ENSG00000178222.13_RNF212	9.1	5.6	2.154e-06	3.027e-04
ENSG00000165092.13_ALDH1A1	2613.8	1.6	4.026e-06	3.031e-04
ENSG00000180543.5_TSPYL5	223.9	-1.7	4.988e-06	3.031e-04
ENSG00000203485.13_INF2	2046.4	1.8	4.238e-06	3.031e-04
ENSG00000182700.5_IGIP	58.8	1.4	3.728e-06	3.047e-04
ENSG00000165914.15_TTC7B	721.2	1.3	1.952e-06	3.067e-04
ENSG00000259419.2_HNRNPCP3	9.4	4	3.781e-06	3.067e-04
ENSG00000247516.8_MIR4458HG	51.3	-2	5.022e-06	3.176e-04
ENSG00000038427.16_VCAN	78.7	-5.4	5.232e-06	3.216e-04
ENSG00000107796.13_ACTA2	268.1	1.9	5.252e-06	3.216e-04
ENSG00000141293.16_SKAP1	163.2	1.5	5.737e-06	3.226e-04
ENSG00000130222.11_GADD45G	182.5	-2.5	5.563e-06	3.276e-04
ENSG00000170627.11_GTSF1	124.5	1	5.560e-06	3.290e-04
ENSG00000087269.16_NOP14	3017	-0.4	4.480e-06	3.297e-04
ENSG00000155111.15_CDK19	1721.6	0.7	4.622e-06	3.298e-04
ENSG00000155846.17_PPARGC1B	359.9	-1.4	5.316e-06	3.302e-04
ENSG00000224531.6_SMIM13	588.1	-0.8	5.240e-06	3.347e-04
ENSG00000227304.3_AC067942.1	14.7	2	1.917e-06	3.347e-04
ENSG00000241494.1_AL355032.1	35.7	1.8	5.903e-06	3.348e-04
ENSG00000228168.1_HNRNPA1P21	10.6	2.6	2.878e-06	3.666e-04
ENSG00000139182.15_CLSTN3	447.1	-3.4	6.899e-06	3.720e-04
ENSG00000267466.1_AC021683.1	12.9	5.7	2.868e-06	3.720e-04
ENSG00000181588.16_MEX3D	217.7	-1.2	6.426e-06	3.744e-04
ENSG00000081985.11_IL12RB2	162	-1.9	6.640e-06	3.854e-04
ENSG00000178429.9_RPS3AP5	77.1	1.9	7.083e-06	3.971e-04
ENSG00000137970.7_RPL7P9	684.7	1.6	2.722e-06	3.979e-04
ENSG00000177191.2_B3GNT8	1892.5	-2.8	5.899e-06	4.048e-04
ENSG00000138794.10_CASP6	626.3	0.8	2.959e-06	4.293e-04
ENSG00000260629.2_BGLT3	803.5	-2.8	7.836e-06	4.329e-04
ENSG00000166886.13_NAB2	520	-1.4	7.397e-06	4.361e-04
ENSG00000232385.2_RPS3AP25	16.3	2.7	7.911e-06	4.588e-04
ENSG00000132694.18_ARHGEF11	305.1	-1.3	8.224e-06	4.637e-04
ENSG00000176244.7_ACBD7	85.2	1.2	9.431e-06	4.876e-04
ENSG00000243746.1_EEF1A1P10	32.6	1.8	6.654e-06	4.876e-04
ENSG00000198816.7_ZNF358	476.2	-2.1	9.525e-06	4.883e-04
ENSG00000219451.3_RPL23P8	67.6	1.6	8.786e-06	4.883e-04
ENSG00000213362.3_FTH1P12	179	2.1	9.052e-06	5.013e-04
ENSG00000237264.4_FTH1P11	337.9	1.9	9.704e-06	5.037e-04
ENSG00000197119.13_SLC25A29	530.6	1.4	8.967e-06	5.120e-04
ENSG00000214719.13_AC005562.1	151.7	1.5	9.615e-06	5.269e-04
ENSG00000136630.13_HLX	168.2	-2	1.043e-05	5.357e-04
ENSG00000123684.13_LPGAT1	1128	1	8.115e-06	5.371e-04
ENSG00000267506.5_AC021683.2	26	3.3	9.686e-06	5.384e-04
ENSG00000229638.1_RPL4P4	435.5	1.4	9.844e-06	5.524e-04
ENSG00000072422.17_RHOBTB1	153.9	-2.5	1.096e-05	5.554e-04
ENSG00000150907.10_FOXO1	2636.2	1.9	9.193e-06	5.605e-04
ENSG00000241612.1_AC114728.1	27	2.9	1.424e-05	5.605e-04
ENSG00000228502.1_EEF1A1P11	372.9	1.8	1.094e-05	5.651e-04
ENSG00000213235.3_EEF1A1P16	61.8	1.7	1.070e-05	5.685e-04
ENSG00000164620.9_RELL2	74.6	-2.1	1.117e-05	5.916e-04
ENSG00000242071.3_RPL7AP6	345.4	1.4	1.089e-05	5.964e-04
ENSG00000153551.14_CMTM7	493.4	1.2	1.093e-05	5.968e-04
ENSG00000117480.16_FAAH	124.3	1.5	1.238e-05	5.983e-04
