gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000270299.1_AL121758.1	18.2	-34.5	2.916e-05	2.825e-03
ENSG00000178951.9_ZBTB7A	8540.8	1.1	3.650e-05	2.882e-03
ENSG00000049249.8_TNFRSF9	9.5	-3.1	2.423e-05	2.974e-03
ENSG00000100320.23_RBFOX2	251.8	-1	4.501e-05	2.974e-03
ENSG00000185129.7_PURA	1354.5	0.6	3.946e-05	3.073e-03
ENSG00000144647.6_POMGNT2	1383.3	1	3.780e-05	3.107e-03
ENSG00000172995.16_ARPP21	15.8	-4.1	3.189e-05	3.160e-03
ENSG00000213453.3_FTH1P3	200.9	2	4.977e-05	3.179e-03
ENSG00000105383.15_CD33	289.8	-2.1	5.939e-05	3.180e-03
ENSG00000164120.14_HPGD	440.4	-2.2	5.580e-05	3.180e-03
ENSG00000160961.12_ZNF333	456.1	-0.7	5.413e-05	3.222e-03
ENSG00000175497.17_DPP10	53.3	-2.7	5.272e-05	3.250e-03
ENSG00000198771.11_RCSD1	1281	-1.6	2.856e-05	3.250e-03
ENSG00000255197.6_AC090559.1	198.7	-3.3	6.179e-05	3.250e-03
ENSG00000162817.7_C1orf115	25.1	3.2	3.875e-05	3.529e-03
ENSG00000225210.10_DUXAP9	6.3	7.4	1.328e-05	3.662e-03
ENSG00000107130.10_NCS1	2341	1.4	3.509e-05	3.916e-03
ENSG00000175054.16_ATR	881	-0.7	5.294e-05	3.987e-03
ENSG00000133742.13_CA1	18358.9	2.8	5.846e-05	4.053e-03
ENSG00000181690.8_PLAG1	636.5	-1.1	3.758e-05	4.125e-03
ENSG00000214425.8_LRRC37A4P	665.2	-2.2	3.759e-05	4.125e-03
ENSG00000204314.12_PRRT1	86.5	1.3	9.001e-05	4.134e-03
ENSG00000204314.12_PRRT1	86.5	1.3	9.001e-05	4.134e-03
ENSG00000233493.4_TMEM238	17.5	2.6	4.393e-05	4.134e-03
ENSG00000128791.12_TWSG1	1452.2	0.7	5.489e-05	4.159e-03
ENSG00000126934.13_MAP2K2	13023.7	0.8	5.778e-05	4.209e-03
ENSG00000196544.8_BORCS6	483.3	1.1	7.868e-05	4.378e-03
ENSG00000173473.11_SMARCC1	7279.4	-0.5	6.884e-05	4.598e-03
ENSG00000120800.5_UTP20	1622.4	-0.8	6.554e-05	4.609e-03
ENSG00000185477.5_GPRIN3	35.6	-2.9	8.166e-05	4.709e-03
ENSG00000086506.3_HBQ1	3462	1.8	6.437e-05	4.760e-03
ENSG00000124920.13_MYRF	56.9	-1.4	1.011e-04	4.912e-03
ENSG00000279541.1_AC005261.6	28.4	-2.4	5.229e-05	4.912e-03
ENSG00000137265.15_IRF4	29.5	-4.6	8.892e-05	5.034e-03
